iteration,prev_error,rel_improvement,no_improvement_counter,dtrans_norm,drot_abs,stop_reason,max_correspondence_distance,min_squared_error,n_points_true_data,n_points_new_data,scan_match_pose,true_pose,predicted_pose,timestamp
3,1.5212864409354312,0.019512367560529556,1,2.2634325932677915e-05,[1.04749366e-06],Transformation magnitude below threshold,0.8,15.0,588,144,"(3.3676950861305195, 8.544045882502312, 1.4203152386166193)","(3.3549114522325243, 8.532998183657229, 1.420836153525044)","(3.3679724130016835, 8.542738324026754, 1.4261059892379935)",55.81
3,1.6357948909532447,0.03710157639833019,0,0.009034050680254533,[0.00090797],Transformation magnitude below threshold,0.8,15.0,582,144,"(3.3802222088607756, 8.637091527107373, 1.4207269271147454)","(3.3693857385451995, 8.628618372072697, 1.4224372074537426)","(3.3813155573354754, 8.637452969978115, 1.4316816808658217)",56.31
3,1.65767982630114,0.3438669346890727,0,0.009694613302010172,[0.00097488],Transformation magnitude below threshold,0.8,15.0,582,144,"(3.386759373034473, 8.64151374031785, 1.634459923128492)","(3.3692700684581136, 8.629997387714013, 1.6358745289291663)","(3.3805805810749767, 8.64802197208896, 1.6553159916867886)",58.3
2,2.1418451439716555,0.9999999997858154,0,0.0017940767861425165,[0.00020934],Transformation magnitude below threshold,0.8,15.0,582,144,"(3.37201878331789, 8.63887448789881, 1.87827427811835)","(3.3689803912407124, 8.630800360469289, 1.8896122324431963)","(3.385933900379345, 8.645927615005949, 1.8768966928525623)",58.8
2,1.7169283831037656,0.9999999998283071,0,0.004615431526781726,[0.00043218],Transformation magnitude below threshold,0.8,15.0,582,144,"(3.372931887101028, 8.636735435872158, 2.147531797334151)","(3.368536073823483, 8.631399414716544, 2.143217780282527)","(3.375010866405014, 8.632527882743743, 2.144407955288182)",59.3
3,1.5357849779297275,0.16428792244571688,0,0.009044098825577563,[0.00091362],Transformation magnitude below threshold,0.8,15.0,584,144,"(3.354599100098694, 8.658055368250936, 2.306921449934824)","(3.3479124431537146, 8.652889584092861, 2.2991087348829837)","(3.3553372288877115, 8.659847958016304, 2.2953992229144955)",59.8
6,1.510353466756428,0.06854730564161948,0,0.00013451742099230998,[9.90343255e-06],Transformation magnitude below threshold,0.8,15.0,581,144,"(3.277260767362899, 8.765707527500174, 2.039932329538565)","(3.2749145864001608, 8.75599169308567, 2.045688631196631)","(3.2840345510901803, 8.764543730562137, 2.005105023529649)",60.32
6,1.455015893398678,0.03503652476952371,0,4.4369165708460925e-05,[6.23615235e-06],Transformation magnitude below threshold,0.8,15.0,576,144,"(3.243115328175631, 8.850284941766294, 1.800275828218355)","(3.238942783296608, 8.841993319352882, 1.810982830333513)","(3.2420539959028662, 8.864935522085737, 1.7835616237720195)",60.82
3,1.561462499818895,0.23150956442577733,0,0.0011989921707576553,[8.36041448e-05],Transformation magnitude below threshold,0.8,15.0,576,144,"(3.2454730835833585, 8.840215811860672, 1.9509664928881192)","(3.241785871298039, 8.829228004624158, 1.9708626791771628)","(3.2398456526048887, 8.860653879254789, 1.9522455974351356)",61.3
5,1.2926555425393778,0.14571790095549803,0,0.00028427700821452177,[2.42679604e-05],Transformation magnitude below threshold,0.8,15.0,576,144,"(3.2452828930093753, 8.839524234060784, 2.219251284131299)","(3.2419845263331184, 8.828834346475487, 2.229714396360615)","(3.2412501074766036, 8.84735545215114, 2.258893138282806)",61.81
3,1.417304290751028,0.14981891412134804,0,0.009214255510082387,[0.00095915],Transformation magnitude below threshold,0.8,15.0,576,144,"(3.2441111604615886, 8.841261532170003, 2.4830349245386043)","(3.2405660979492965, 8.830072164013025, 2.4779280811130953)","(3.242282447995117, 8.842592237748658, 2.4708730661659004)",62.3
2,1.3232893315160028,0.999999999867671,0,0.009440005502572828,[0.00098643],Transformation magnitude below threshold,0.8,15.0,576,133,"(3.2424829330565133, 8.8421147708815, 2.7479762952152913)","(3.239555095700657, 8.830186653966017, 2.762967345076364)","(3.2368473863034333, 8.845433462028046, 2.757462980448607)",62.79
